store,sku,amount
Scranton,DM1873,40.97 AUD
Utica,DM1724,90.22 AUD
Buffalo,DM1759,81.33 USD
Nashua,DM1537,12.88 USD
Buffalo,DM1759,48.54 EUR
Utica,DM1759,24.40 AUD
Nashua,DM1759,30.91 USD
Camden,DM1541,63.37 AUD
Camden,DM1537,49.53 AUD
Nashua,DM1210,93.83 CAD
Camden,DM1294,28.63 USD
Nashua,DM1182,32.63 CAD
Utica,DM1541,23.40 EUR
Nashua,DM1537,49.41 AUD
Scranton,DM1873,81.05 USD
Yonkers,DM1230,96.06 EUR
Utica,DM1541,96.59 USD
Scranton,DM1786,85.10 AUD
Scranton,DM1210,22.89 AUD
Camden,DM1759,70.73 USD
Akron,DM1537,88.45 AUD
Utica,DM1210,17.66 CAD
Nashua,DM1182,38.03 USD
Akron,DM1537,65.29 CAD
Nashua,DM1230,65.96 CAD
Akron,DM1294,87.34 CAD
Utica,DM1541,44.08 USD
Buffalo,DM1182,93.91 USD
Buffalo,DM1294,87.83 AUD
Buffalo,DM1294,22.46 CAD
Akron,DM1182,37.40 AUD
Yonkers,DM1873,99.98 EUR
Akron,DM1230,62.02 CAD
Albany,DM1182,23.51 AUD
Scranton,DM1230,70.51 AUD
Nashua,DM1182,40.93 USD
Nashua,DM1786,38.47 EUR
Scranton,DM1759,74.27 AUD
Buffalo,DM1541,23.49 AUD
Albany,DM1786,93.07 AUD
Scranton,DM1182,79.93 EUR
Scranton,DM1786,26.27 EUR
Utica,DM1230,63.20 CAD
Scranton,DM1537,29.69 USD
Camden,DM1182,48.38 EUR
Utica,DM1294,15.15 USD
Camden,DM1786,77.65 EUR
Albany,DM1759,85.87 USD
Scranton,DM1873,68.12 EUR
Scranton,DM1786,51.68 USD
Buffalo,DM1786,34.21 EUR
Utica,DM1724,93.76 AUD
Utica,DM1786,44.56 EUR
Buffalo,DM1873,71.13 AUD
Akron,DM1182,99.21 CAD
Utica,DM1537,71.02 EUR
Buffalo,DM1759,11.83 AUD
Utica,DM1182,77.78 AUD
Nashua,DM1759,47.36 USD
Albany,DM1294,99.16 EUR
Utica,DM1537,75.97 AUD
Nashua,DM1230,79.70 AUD
Scranton,DM1182,21.84 AUD
Camden,DM1537,36.28 USD
Nashua,DM1294,21.76 CAD
Camden,DM1724,57.07 CAD
Nashua,DM1294,23.50 AUD
Albany,DM1182,36.07 USD
Nashua,DM1294,68.62 CAD
Nashua,DM1294,71.10 AUD
Nashua,DM1230,10.68 USD
Akron,DM1230,59.49 EUR
Yonkers,DM1294,38.27 CAD
Utica,DM1759,49.28 CAD
Nashua,DM1541,58.88 CAD
Yonkers,DM1541,95.42 AUD
Albany,DM1541,54.47 USD
Camden,DM1786,69.59 USD
Utica,DM1786,98.36 USD
Buffalo,DM1537,47.54 USD
Utica,DM1759,45.33 CAD
Nashua,DM1294,78.87 EUR
Scranton,DM1294,37.58 CAD
Utica,DM1759,98.92 USD
Utica,DM1210,57.21 EUR
Buffalo,DM1873,56.41 USD
Camden,DM1873,98.74 AUD
Albany,DM1230,67.23 CAD
Albany,DM1541,86.74 EUR
Camden,DM1873,26.25 EUR
Nashua,DM1759,67.13 CAD
Nashua,DM1182,69.65 EUR
Buffalo,DM1541,81.16 CAD
Nashua,DM1230,19.67 EUR
Scranton,DM1182,54.14 CAD
Scranton,DM1759,20.27 USD
Buffalo,DM1786,98.22 AUD
Camden,DM1541,73.21 AUD
Camden,DM1786,56.81 CAD
Albany,DM1210,86.18 EUR
Scranton,DM1230,63.46 AUD
Scranton,DM1294,98.40 AUD
Camden,DM1541,43.92 EUR
Buffalo,DM1537,81.48 USD
Camden,DM1786,63.65 EUR
Utica,DM1537,15.08 USD
Yonkers,DM1786,67.90 CAD
Nashua,DM1541,45.95 AUD
Albany,DM1230,99.55 EUR
Buffalo,DM1230,81.81 EUR
Albany,DM1230,16.83 EUR
Utica,DM1873,91.25 EUR
Nashua,DM1182,79.53 EUR
Akron,DM1294,34.87 EUR
Buffalo,DM1786,42.39 CAD
Utica,DM1230,85.60 AUD
Yonkers,DM1210,99.69 EUR
Utica,DM1294,85.78 AUD
Utica,DM1759,54.24 AUD
Utica,DM1873,55.17 USD
Camden,DM1294,58.64 USD
Utica,DM1230,84.12 EUR
Yonkers,DM1294,55.27 EUR
Nashua,DM1230,20.55 AUD
Buffalo,DM1786,52.83 USD
Utica,DM1210,60.14 USD
Nashua,DM1182,18.16 CAD
Utica,DM1759,88.06 EUR
Utica,DM1873,91.85 EUR
Scranton,DM1537,14.29 AUD
Utica,DM1759,74.83 EUR
Yonkers,DM1724,41.70 AUD
Utica,DM1230,99.45 EUR
Camden,DM1210,37.58 CAD
Utica,DM1294,68.29 EUR
Yonkers,DM1230,43.36 USD
Utica,DM1294,61.59 USD
Utica,DM1873,30.07 AUD
Buffalo,DM1541,11.60 AUD
Yonkers,DM1541,33.90 EUR
Scranton,DM1724,94.51 CAD
Akron,DM1182,17.93 EUR
Albany,DM1724,68.41 AUD
Scranton,DM1182,57.21 EUR
Yonkers,DM1537,44.47 USD
Yonkers,DM1786,77.14 AUD
Buffalo,DM1182,68.02 EUR
Utica,DM1230,30.23 EUR
Nashua,DM1537,32.40 EUR
Buffalo,DM1759,25.52 USD
Akron,DM1210,75.22 CAD
Akron,DM1873,89.32 EUR
Camden,DM1873,37.40 USD
Utica,DM1294,99.29 AUD
Yonkers,DM1541,81.53 AUD
Buffalo,DM1537,45.83 CAD
Yonkers,DM1786,87.72 USD
Buffalo,DM1873,42.34 USD
Nashua,DM1724,14.51 AUD
Albany,DM1724,60.63 AUD
Camden,DM1541,25.72 CAD
Akron,DM1541,85.35 EUR
Scranton,DM1210,60.21 CAD
Utica,DM1182,13.74 USD
Akron,DM1786,84.85 AUD
Nashua,DM1541,77.40 EUR
Nashua,DM1759,57.10 CAD
Yonkers,DM1210,94.30 EUR
Yonkers,DM1294,14.10 CAD
Albany,DM1786,24.90 USD
Scranton,DM1294,52.60 USD
Akron,DM1230,91.46 AUD
Camden,DM1537,54.29 EUR
Utica,DM1294,77.94 CAD
Nashua,DM1210,89.01 CAD
Camden,DM1541,91.54 AUD
Camden,DM1873,86.85 AUD
Yonkers,DM1537,83.70 AUD
Buffalo,DM1182,87.44 USD
Scranton,DM1182,74.48 USD
Buffalo,DM1537,54.45 USD
Yonkers,DM1724,95.96 EUR
Nashua,DM1537,23.82 EUR
Utica,DM1724,21.47 EUR
Akron,DM1537,27.72 AUD
Buffalo,DM1873,17.02 EUR
Utica,DM1759,27.53 CAD
Akron,DM1724,22.44 EUR
Scranton,DM1182,90.42 CAD
Akron,DM1759,54.16 AUD
Akron,DM1724,78.13 EUR
Scranton,DM1294,66.23 USD
Yonkers,DM1537,84.84 CAD
Camden,DM1537,59.37 EUR
Utica,DM1294,50.74 AUD
Utica,DM1786,23.47 AUD
Nashua,DM1230,57.16 USD
Camden,DM1724,98.70 AUD
Yonkers,DM1724,52.92 EUR
Yonkers,DM1873,86.71 AUD
Buffalo,DM1724,23.01 AUD
Buffalo,DM1873,66.58 CAD
Utica,DM1724,74.84 CAD
Albany,DM1724,23.14 CAD
Yonkers,DM1537,31.90 CAD
Camden,DM1294,10.73 AUD
Akron,DM1786,14.19 CAD
Scranton,DM1294,75.48 EUR
Nashua,DM1182,26.36 CAD
Buffalo,DM1294,30.86 CAD
Nashua,DM1210,74.77 USD
Albany,DM1210,66.32 USD
Utica,DM1294,99.73 AUD
Yonkers,DM1873,29.52 CAD
Camden,DM1541,85.00 AUD
Scranton,DM1230,25.35 AUD
Akron,DM1873,45.23 CAD
Scranton,DM1230,65.37 EUR
Nashua,DM1724,34.28 USD
Yonkers,DM1541,83.76 AUD
Scranton,DM1541,79.79 AUD
Nashua,DM1230,77.08 USD
Camden,DM1230,60.38 EUR
Scranton,DM1210,92.07 CAD
Utica,DM1724,80.90 AUD
Nashua,DM1182,78.55 AUD
Buffalo,DM1724,57.72 AUD
Buffalo,DM1724,66.44 USD
Camden,DM1759,40.22 EUR
Nashua,DM1541,32.57 EUR
Nashua,DM1182,75.58 AUD
Scranton,DM1182,57.52 AUD
Scranton,DM1294,95.33 EUR
Akron,DM1786,28.66 CAD
Albany,DM1182,29.74 EUR
Akron,DM1873,75.18 CAD
Albany,DM1759,13.70 AUD
Albany,DM1724,36.11 CAD
Utica,DM1786,68.79 AUD
Yonkers,DM1724,41.07 AUD
Scranton,DM1294,96.36 USD
Scranton,DM1786,34.44 EUR
Albany,DM1786,55.92 EUR
Akron,DM1294,66.88 USD
Nashua,DM1230,88.33 EUR
Buffalo,DM1537,35.85 USD
Buffalo,DM1759,45.81 EUR
Camden,DM1230,76.34 EUR
Albany,DM1873,73.86 EUR
Utica,DM1182,43.16 AUD
Yonkers,DM1786,93.18 AUD
Albany,DM1294,11.50 USD
Utica,DM1724,56.15 CAD
Buffalo,DM1759,17.74 CAD
Yonkers,DM1541,70.24 CAD
Yonkers,DM1210,79.44 EUR
Camden,DM1230,68.21 USD
Utica,DM1182,41.16 CAD
Akron,DM1230,98.90 USD
Scranton,DM1724,74.30 CAD
Camden,DM1724,87.31 AUD
Albany,DM1230,42.43 CAD
Yonkers,DM1210,92.56 USD
Buffalo,DM1724,36.85 USD
Camden,DM1294,22.43 AUD
Buffalo,DM1182,12.81 USD
Albany,DM1230,25.61 EUR
Scranton,DM1873,99.23 EUR
Utica,DM1873,84.46 AUD
Albany,DM1537,34.38 AUD
Camden,DM1759,25.38 CAD
Buffalo,DM1210,58.72 AUD
Akron,DM1210,23.82 AUD
Albany,DM1210,55.31 CAD
Albany,DM1541,94.27 AUD
Scranton,DM1786,40.70 CAD
Nashua,DM1230,99.57 EUR
Yonkers,DM1210,20.63 CAD
Akron,DM1182,32.24 CAD
Utica,DM1724,28.41 EUR
Akron,DM1873,75.54 AUD
Albany,DM1786,98.44 USD
Camden,DM1724,94.89 CAD
Yonkers,DM1541,73.46 USD
Camden,DM1230,98.93 USD
Akron,DM1724,49.16 CAD
Camden,DM1294,39.95 AUD
Albany,DM1786,56.18 USD
Akron,DM1759,95.13 USD
Yonkers,DM1294,29.99 USD
Nashua,DM1182,75.66 USD
Scranton,DM1724,70.45 EUR
Nashua,DM1210,31.24 EUR
Buffalo,DM1230,45.45 EUR
Camden,DM1541,76.38 EUR
Albany,DM1230,84.83 USD
Camden,DM1786,42.97 CAD
Camden,DM1210,28.31 EUR
Buffalo,DM1759,28.12 EUR
Akron,DM1210,63.57 AUD
Akron,DM1182,75.01 USD
Yonkers,DM1724,95.55 CAD
Albany,DM1759,61.68 EUR
Camden,DM1537,87.34 AUD
Utica,DM1230,88.78 AUD
Nashua,DM1724,25.81 EUR
Yonkers,DM1210,11.89 USD
Buffalo,DM1873,90.24 CAD
Scranton,DM1182,73.45 AUD
Yonkers,DM1786,27.58 USD
Scranton,DM1541,27.08 EUR
Akron,DM1294,38.54 AUD
Scranton,DM1873,59.02 CAD
Yonkers,DM1873,73.98 USD
Camden,DM1541,50.63 USD
Yonkers,DM1210,94.83 AUD
Camden,DM1724,76.03 USD
Scranton,DM1541,64.07 EUR
Albany,DM1537,53.25 USD
Akron,DM1537,10.80 AUD
Camden,DM1294,33.72 EUR
Nashua,DM1786,63.10 AUD
Buffalo,DM1541,58.20 EUR
Akron,DM1182,48.25 CAD
Utica,DM1182,94.77 EUR
Yonkers,DM1873,52.42 AUD
Buffalo,DM1724,67.81 CAD
Akron,DM1724,66.85 USD
Buffalo,DM1294,90.73 AUD
Utica,DM1294,58.95 EUR
Albany,DM1759,47.24 USD
Nashua,DM1537,22.78 EUR
Scranton,DM1210,60.77 AUD
Scranton,DM1294,60.78 USD
Nashua,DM1759,48.01 CAD
Camden,DM1759,32.01 CAD
Nashua,DM1537,17.33 CAD
Akron,DM1759,84.79 USD
Albany,DM1294,38.24 EUR
Scranton,DM1182,18.64 AUD
Buffalo,DM1537,55.48 EUR
Camden,DM1724,43.27 EUR
Buffalo,DM1182,38.66 AUD
Yonkers,DM1759,20.13 USD
Utica,DM1210,66.80 AUD
Camden,DM1724,68.81 EUR
Yonkers,DM1210,25.56 AUD
Scranton,DM1294,59.87 USD
Yonkers,DM1182,40.43 CAD
Akron,DM1182,39.81 USD
Buffalo,DM1210,78.96 USD
Akron,DM1230,48.33 AUD
Yonkers,DM1541,99.42 CAD
Akron,DM1873,72.81 EUR
Scranton,DM1182,36.67 CAD
Scranton,DM1210,16.68 CAD
Yonkers,DM1873,48.86 AUD
Akron,DM1230,83.69 CAD
Akron,DM1759,59.86 AUD
Nashua,DM1182,93.91 USD
Albany,DM1294,85.17 USD
Utica,DM1759,64.69 CAD
Akron,DM1210,17.32 EUR
Camden,DM1873,91.50 AUD
Scranton,DM1873,30.72 EUR
Akron,DM1210,99.14 EUR
Buffalo,DM1541,58.49 AUD
Nashua,DM1182,12.72 EUR
Albany,DM1182,18.52 EUR
Scranton,DM1230,46.20 AUD
Camden,DM1294,77.33 CAD
Yonkers,DM1873,68.88 AUD
Camden,DM1541,14.47 CAD
Albany,DM1294,22.50 AUD
Nashua,DM1724,42.47 USD
Nashua,DM1230,72.55 EUR
Albany,DM1759,21.74 EUR
Nashua,DM1294,65.42 EUR
Scranton,DM1294,78.91 CAD
Yonkers,DM1230,60.57 CAD
Yonkers,DM1230,96.67 CAD
Akron,DM1537,10.16 CAD
Nashua,DM1294,90.86 AUD
Buffalo,DM1210,27.43 CAD
Albany,DM1294,28.90 CAD
Nashua,DM1873,78.90 USD
Scranton,DM1541,41.17 USD
Camden,DM1230,44.59 EUR
Camden,DM1294,23.91 AUD
Utica,DM1786,88.43 CAD
Camden,DM1786,73.86 USD
Akron,DM1210,41.64 EUR
Scranton,DM1182,17.05 CAD
Utica,DM1210,24.23 AUD
Buffalo,DM1724,15.85 AUD
Camden,DM1230,99.63 EUR
Camden,DM1210,23.42 EUR
Albany,DM1786,40.27 EUR
Camden,DM1873,27.69 CAD
Camden,DM1759,46.08 AUD
Scranton,DM1294,83.89 CAD
Scranton,DM1786,67.04 USD
Akron,DM1541,70.14 USD
Albany,DM1724,69.33 CAD
Akron,DM1724,67.30 CAD
Akron,DM1541,52.73 USD
Yonkers,DM1724,75.97 EUR
Camden,DM1210,49.36 EUR
Nashua,DM1541,35.31 EUR
Yonkers,DM1786,75.97 USD
Akron,DM1873,40.59 EUR
Nashua,DM1541,40.43 USD
Scranton,DM1537,15.56 CAD
Akron,DM1294,93.82 EUR
Nashua,DM1210,99.56 EUR
Albany,DM1182,54.67 CAD
Nashua,DM1541,50.67 CAD
Utica,DM1724,78.97 CAD
Buffalo,DM1786,34.79 AUD
Camden,DM1230,69.30 AUD
Akron,DM1541,45.14 USD
Nashua,DM1786,93.13 USD
Yonkers,DM1537,71.48 EUR
Albany,DM1541,68.26 USD
Nashua,DM1294,20.06 AUD
Albany,DM1230,45.67 AUD
Camden,DM1294,74.01 CAD
Yonkers,DM1873,26.80 AUD
Nashua,DM1182,89.11 CAD
Buffalo,DM1294,82.50 USD
Nashua,DM1182,97.21 CAD
Scranton,DM1294,93.40 USD
Buffalo,DM1182,42.78 EUR
Scranton,DM1294,28.03 USD
Yonkers,DM1724,93.44 AUD
Nashua,DM1873,73.92 AUD
Nashua,DM1294,66.59 EUR
Scranton,DM1759,13.08 USD
Yonkers,DM1210,85.03 CAD
Buffalo,DM1230,41.12 CAD
Buffalo,DM1724,57.21 CAD
Nashua,DM1537,99.63 AUD
Utica,DM1724,91.74 EUR
Nashua,DM1537,56.71 EUR
Yonkers,DM1873,69.63 AUD
Utica,DM1759,30.68 CAD
Camden,DM1541,78.85 EUR
Albany,DM1724,28.95 AUD
Utica,DM1759,28.01 CAD
Akron,DM1210,85.07 AUD
Scranton,DM1873,90.34 USD
Albany,DM1724,51.59 USD
Akron,DM1537,25.57 EUR
Camden,DM1230,98.28 USD
Utica,DM1230,78.44 USD
Albany,DM1230,22.36 AUD
Utica,DM1230,82.38 CAD
Yonkers,DM1230,12.39 EUR
Camden,DM1759,31.55 AUD
Yonkers,DM1182,22.04 CAD
Nashua,DM1294,48.25 EUR
Buffalo,DM1210,60.03 AUD
Akron,DM1873,33.79 EUR
Scranton,DM1182,25.40 CAD
Yonkers,DM1182,14.60 AUD
Utica,DM1873,55.79 USD
Utica,DM1759,43.90 CAD
Utica,DM1294,39.67 USD
Camden,DM1786,58.95 USD
Albany,DM1210,53.25 CAD
Albany,DM1537,22.14 AUD
Buffalo,DM1537,76.00 CAD
Scranton,DM1541,20.42 CAD
Yonkers,DM1182,51.90 AUD
Buffalo,DM1230,69.68 USD
Buffalo,DM1541,86.13 CAD
Albany,DM1873,65.68 CAD
Akron,DM1786,21.46 AUD
Buffalo,DM1759,45.29 USD
Utica,DM1759,36.06 CAD
Utica,DM1294,13.42 AUD
Buffalo,DM1786,56.89 EUR
Scranton,DM1210,66.35 CAD
Nashua,DM1294,86.42 AUD
Albany,DM1294,52.59 EUR
Akron,DM1294,83.23 USD
Utica,DM1182,22.19 EUR
Yonkers,DM1873,48.92 USD
Nashua,DM1537,79.07 EUR
Buffalo,DM1541,16.14 EUR
Buffalo,DM1541,83.30 AUD
Utica,DM1786,95.42 USD
Albany,DM1759,71.13 AUD
Akron,DM1294,72.02 AUD
Nashua,DM1230,37.44 EUR
Camden,DM1182,18.83 USD
Utica,DM1210,77.31 EUR
Scranton,DM1210,50.20 CAD
Akron,DM1541,79.23 EUR
Albany,DM1541,35.87 CAD
Albany,DM1541,16.82 AUD
Akron,DM1759,87.13 CAD
Yonkers,DM1537,76.33 AUD
Camden,DM1786,36.66 USD
Yonkers,DM1759,49.74 CAD
Albany,DM1786,62.91 AUD
Akron,DM1724,29.33 CAD
Scranton,DM1294,85.42 USD
Nashua,DM1786,59.82 USD
Yonkers,DM1182,30.71 EUR
Camden,DM1230,88.16 USD
Albany,DM1541,50.07 AUD
Scranton,DM1182,63.50 EUR
Albany,DM1873,19.86 AUD
Camden,DM1873,15.07 CAD
Buffalo,DM1182,41.64 CAD
Albany,DM1786,17.24 AUD
Buffalo,DM1873,26.10 CAD
Utica,DM1182,20.81 EUR
Buffalo,DM1786,34.37 USD
Nashua,DM1537,29.88 AUD
Yonkers,DM1294,19.05 USD
Buffalo,DM1541,15.08 CAD
Albany,DM1786,99.18 CAD
Scranton,DM1210,85.35 USD
Scranton,DM1537,71.75 CAD
Albany,DM1541,79.16 AUD
Utica,DM1210,96.08 CAD
Albany,DM1182,55.01 USD
Albany,DM1537,98.26 CAD
Scranton,DM1210,57.13 USD
Scranton,DM1724,81.11 AUD
Scranton,DM1230,21.19 EUR
Utica,DM1873,62.34 EUR
Akron,DM1537,67.97 USD
Nashua,DM1541,57.44 AUD
Scranton,DM1294,92.55 USD
Albany,DM1210,52.81 USD
Buffalo,DM1873,87.35 CAD
Yonkers,DM1182,59.88 USD
Buffalo,DM1210,72.65 USD
Buffalo,DM1724,12.67 CAD
Akron,DM1724,49.85 USD
Akron,DM1210,41.40 EUR
Akron,DM1724,58.36 AUD
Akron,DM1294,88.19 AUD
Buffalo,DM1210,68.61 AUD
Albany,DM1541,84.86 CAD
Buffalo,DM1537,20.27 USD
Yonkers,DM1541,58.86 USD
Camden,DM1873,82.95 EUR
Albany,DM1724,80.59 EUR
Utica,DM1724,87.30 AUD
Utica,DM1230,40.41 USD
Utica,DM1873,63.94 EUR
Albany,DM1210,96.59 EUR
Nashua,DM1230,17.67 USD
Buffalo,DM1210,74.69 CAD
Camden,DM1294,19.43 CAD
Nashua,DM1230,33.66 AUD
Camden,DM1786,38.52 USD
Albany,DM1759,66.88 USD
Akron,DM1541,80.84 CAD
Akron,DM1210,56.55 AUD
Akron,DM1873,39.70 AUD
Utica,DM1724,13.24 CAD
Albany,DM1724,46.02 AUD
Utica,DM1537,32.75 AUD
Utica,DM1182,71.52 EUR
Nashua,DM1210,77.08 AUD
Camden,DM1724,28.53 EUR
Yonkers,DM1786,59.77 AUD
Utica,DM1537,27.23 CAD
Utica,DM1210,39.23 USD
Yonkers,DM1724,59.46 CAD
Buffalo,DM1210,29.16 AUD
Buffalo,DM1210,59.76 AUD
Nashua,DM1230,31.04 USD
Utica,DM1541,76.99 CAD
Nashua,DM1294,27.56 USD
Utica,DM1759,44.10 USD
Camden,DM1541,54.14 EUR
Yonkers,DM1786,61.34 AUD
Albany,DM1786,86.28 EUR
Albany,DM1873,51.43 CAD
Utica,DM1210,31.11 EUR
Akron,DM1294,94.41 USD
Albany,DM1537,76.61 AUD
Buffalo,DM1759,96.25 CAD
Akron,DM1759,65.54 CAD
Utica,DM1724,76.42 CAD
Nashua,DM1230,72.30 USD
Utica,DM1210,70.37 AUD
Yonkers,DM1210,36.59 CAD
Buffalo,DM1182,63.24 CAD
Albany,DM1182,12.06 AUD
Yonkers,DM1759,81.87 CAD
Nashua,DM1182,58.12 AUD
Buffalo,DM1759,86.40 CAD
Camden,DM1230,49.70 EUR
Nashua,DM1182,55.72 CAD
Scranton,DM1724,93.89 AUD
Buffalo,DM1294,62.50 AUD
Camden,DM1759,96.22 AUD
Utica,DM1294,50.18 CAD
Camden,DM1230,98.41 CAD
Akron,DM1537,71.22 USD
Scranton,DM1294,44.35 USD
Camden,DM1724,72.48 AUD
Akron,DM1537,64.97 AUD
Buffalo,DM1759,90.12 CAD
Albany,DM1294,92.38 AUD
Camden,DM1759,92.39 EUR
Nashua,DM1230,28.61 EUR
Utica,DM1537,16.48 USD
Scranton,DM1294,96.39 EUR
Nashua,DM1786,22.47 USD
Albany,DM1182,65.84 EUR
Scranton,DM1294,94.65 EUR
Nashua,DM1541,35.70 CAD
Yonkers,DM1230,39.78 AUD
Albany,DM1786,83.14 EUR
Nashua,DM1294,92.76 CAD
Buffalo,DM1759,87.05 USD
Buffalo,DM1786,46.67 CAD
Buffalo,DM1230,72.94 USD
Akron,DM1230,73.39 EUR
Utica,DM1786,92.72 USD
Akron,DM1759,68.98 AUD
Albany,DM1537,54.43 AUD
Nashua,DM1759,17.89 EUR
Buffalo,DM1873,31.25 EUR
Yonkers,DM1230,76.99 CAD
Nashua,DM1541,30.45 EUR
Buffalo,DM1724,19.95 CAD
Camden,DM1537,30.51 EUR
Camden,DM1724,98.21 EUR
Scranton,DM1294,47.26 USD
Buffalo,DM1786,57.54 AUD
Nashua,DM1541,12.06 CAD
Scranton,DM1210,78.72 USD
Albany,DM1294,67.27 USD
Akron,DM1210,24.99 AUD
Yonkers,DM1230,71.39 CAD
Akron,DM1541,33.07 AUD
Yonkers,DM1759,70.35 AUD
Yonkers,DM1873,88.15 USD
Scranton,DM1759,99.55 AUD
Scranton,DM1724,82.52 CAD
Nashua,DM1537,97.81 EUR
Nashua,DM1294,34.72 USD
Scranton,DM1873,73.48 USD
Camden,DM1541,47.96 CAD
Buffalo,DM1541,49.92 CAD
Akron,DM1873,83.12 EUR
Albany,DM1541,93.07 AUD
Scranton,DM1230,15.11 USD
Akron,DM1724,95.65 EUR
Camden,DM1541,43.49 AUD
Nashua,DM1230,12.54 CAD
Utica,DM1786,49.38 USD
Scranton,DM1873,76.64 AUD
Scranton,DM1541,56.27 CAD
Nashua,DM1210,76.44 AUD
Albany,DM1786,76.26 AUD
Nashua,DM1537,30.78 CAD
Camden,DM1182,54.90 AUD
Scranton,DM1541,93.26 CAD
Yonkers,DM1724,82.88 EUR
Yonkers,DM1541,44.89 CAD
Akron,DM1786,67.85 EUR
Camden,DM1294,36.16 AUD
Camden,DM1724,23.76 USD
Akron,DM1724,47.41 AUD
Camden,DM1537,69.07 USD
Albany,DM1724,16.33 AUD
Utica,DM1230,10.09 USD
Camden,DM1786,17.08 EUR
Camden,DM1537,12.44 CAD
Scranton,DM1724,41.31 CAD
Utica,DM1541,38.88 CAD
Albany,DM1294,22.36 CAD
Scranton,DM1541,15.33 AUD
Akron,DM1294,70.80 EUR
Akron,DM1210,87.90 AUD
Scranton,DM1230,20.36 CAD
Akron,DM1873,16.66 USD
Camden,DM1230,11.61 AUD
Buffalo,DM1786,54.87 EUR
Akron,DM1873,13.86 USD
Scranton,DM1541,70.53 CAD
Albany,DM1182,10.72 CAD
Nashua,DM1541,54.09 USD
Albany,DM1294,40.44 USD
Scranton,DM1873,91.17 USD
Akron,DM1541,97.46 EUR
Nashua,DM1210,24.13 AUD
Camden,DM1873,88.74 CAD
Akron,DM1759,70.39 USD
Camden,DM1294,84.88 USD
Utica,DM1759,77.95 USD
Yonkers,DM1759,45.49 AUD
Nashua,DM1786,79.98 USD
Buffalo,DM1759,54.28 AUD
Yonkers,DM1294,33.82 CAD
Akron,DM1724,47.49 CAD
Yonkers,DM1724,72.55 CAD
Nashua,DM1294,48.69 AUD
Camden,DM1541,57.12 EUR
Camden,DM1873,48.62 AUD
Yonkers,DM1294,98.84 EUR
Nashua,DM1537,28.09 EUR
Scranton,DM1537,87.45 EUR
Albany,DM1759,51.81 USD
Akron,DM1541,68.30 AUD
Albany,DM1537,85.63 USD
Utica,DM1182,50.61 USD
Albany,DM1294,74.33 CAD
Akron,DM1230,70.52 EUR
Camden,DM1294,59.43 USD
Nashua,DM1759,40.09 USD
Akron,DM1182,51.61 CAD
Camden,DM1537,26.15 AUD
Nashua,DM1182,68.62 AUD
Camden,DM1786,82.66 USD
Yonkers,DM1210,60.12 CAD
Camden,DM1182,61.36 AUD
Yonkers,DM1786,49.34 EUR
Utica,DM1230,38.61 EUR
Buffalo,DM1724,81.48 EUR
Nashua,DM1873,35.42 AUD
Yonkers,DM1541,27.31 CAD
Yonkers,DM1294,53.71 CAD
Buffalo,DM1182,59.72 CAD
Camden,DM1786,95.31 AUD
Akron,DM1210,19.82 CAD
Albany,DM1210,66.78 CAD
Camden,DM1724,65.32 AUD
Yonkers,DM1230,77.05 EUR
Utica,DM1294,41.58 AUD
Utica,DM1873,50.68 USD
Yonkers,DM1724,34.85 USD
Buffalo,DM1210,43.58 CAD
Nashua,DM1873,93.85 CAD
Buffalo,DM1182,13.12 AUD
Akron,DM1537,90.39 EUR
Nashua,DM1230,19.05 AUD
Albany,DM1786,61.04 AUD
Akron,DM1724,64.89 CAD
Utica,DM1182,76.32 EUR
Nashua,DM1759,74.31 EUR
Scranton,DM1541,20.72 USD
Scranton,DM1786,55.96 AUD
Scranton,DM1210,15.49 AUD
Buffalo,DM1537,18.07 CAD
Scranton,DM1541,52.01 CAD
Buffalo,DM1230,16.10 EUR
Nashua,DM1294,15.27 AUD
Scranton,DM1759,46.58 CAD
Albany,DM1786,99.29 USD
Scranton,DM1182,85.45 AUD
Albany,DM1873,76.29 USD
Yonkers,DM1537,69.97 EUR
Akron,DM1759,43.59 AUD
Albany,DM1759,56.55 CAD
Scranton,DM1873,55.66 EUR
Albany,DM1786,98.91 CAD
Camden,DM1786,37.19 EUR
Albany,DM1230,74.77 EUR
Camden,DM1541,20.35 EUR
Buffalo,DM1230,97.65 AUD
Akron,DM1537,66.97 USD
Yonkers,DM1230,41.41 CAD
Akron,DM1182,81.00 EUR
Utica,DM1873,17.76 CAD
Buffalo,DM1786,50.32 CAD
Yonkers,DM1873,32.86 AUD
Yonkers,DM1294,78.67 EUR
Camden,DM1294,20.12 EUR
Utica,DM1759,94.92 CAD
Akron,DM1230,41.72 CAD
Yonkers,DM1182,85.36 USD
Buffalo,DM1759,64.89 AUD
Scranton,DM1541,40.35 EUR
Camden,DM1182,63.47 USD
Albany,DM1541,65.35 USD
Camden,DM1294,68.84 EUR
Albany,DM1786,36.69 USD
Albany,DM1210,74.52 CAD
Akron,DM1182,36.73 USD
Scranton,DM1230,97.61 EUR
Camden,DM1759,46.09 USD
Nashua,DM1294,70.56 EUR
Yonkers,DM1873,69.00 USD
Camden,DM1230,18.60 USD
Albany,DM1759,29.68 AUD
Albany,DM1230,70.31 AUD
Camden,DM1873,33.08 USD
Nashua,DM1210,91.60 CAD
